Date,Day,Platform,Series,Headline,Copy,Visual Specs,Hashtags,Publish Time,Notes,
7/17/26,Thursday,Instagram,Community Story,Spinners isn't just entertainment. It's where Madison gathers.,"Spinners Entertainment Complex is 120,000 SF of bowling, skating, arcade, mini golf, golf simulation, trampoline park, pickleball, F&B, and event space.

But it's more than that.

Spinners is where Madison parents celebrate their kids. Where high school friends reunite. Where cousins gather. Where memories happen.

When you design an entertainment anchor, you're not selling games and food. You're creating the place where a community comes alive together.

Spinners opens at The Gallery [DATE]. 🎳

Transforming communities one connection at a time.",Spinners rendering (vibrant family-friendly inviting),#FamilyFun #Entertainment #Madison #Community,9am,,
7/18/26,Friday,LinkedIn,Impact Story,Measuring Success (Beyond Returns),"How do you measure success in community development?

Financial returns matter (equity multiple, cash-on-cash, IRR). They fund future projects.

But Bellamare measures something else: Community Return on Investment.

**CROI includes:**
- Jobs created (150 construction, 80+ permanent)
- Local businesses launched/expanded (MS Candy, Journey Wealth, Recovery Center, etc.)
- Tax base expansion (city of Madison, county revenue)
- Social capital strengthened (gathering spaces, community identity)
- Family mobility (entertainment, wellness, dining walkable, integrated)

**The Gallery's CROI (by 2030):**
- 300+ direct and indirect jobs
- $5M+ annual tax revenue
- Community identity: ""The place where Madison gathers""
- Intergenerational family destination

Financial returns fund growth. Community returns fund trust.

At Bellamare, both matter equally.

Creation. Capital. Customer. Charity.",Impact metrics graphic or community benefit infographic,#SocialImpact #CommunityReturn #RealEstateDevelopment,9am,,
7/19/26,Saturday,Facebook,Community Gratitude,The people building The Gallery with us.,"Behind every development, there are people: the visionaries, the builders, the partners, the believers.

This week, we're grateful for:

**Sunny Sethi** — 25+ years of Mississippi roots, unwavering mission-first philosophy
**Paige Prechter** — Systems thinker, community-focused development leader
**Fondren & Codaray** — GC partner committed to quality over shortcuts
**MS Candy, Journey Wealth, Recovery Center, and 77 other tenant partners** — Local businesses betting on The Gallery vision
**Madison City, County, Economic Development** — Partners supporting community transformation

And to the families of Madison — thank you for reminding us why this matters.

Transforming communities one connection at a time. 🙏",Collage of key partners/team members (diverse authentic),#Gratitude #Partnership #Madison #CommunityBuilding,11am,,
7/21/26,Monday,Facebook,Market Story,While Madison is gathering Gulfport is transforming.,"The Gallery is for Madison families. But Bellamare's work extends beyond one market.

In Gulfport, we're anchoring a waterfront transformation.

**Channel South / Gulfport Town Center:**
- Hotel Holden: 114-room Marriott-branded luxury hotel (new standard for Gulf Coast hospitality)
- 136 luxury apartments: Bringing new residents, new energy to downtown
- Class A office: Attracting professional services, HQ relocations
- Retail + dining: Waterfront experience

Opening 2027.

**Same company. Different market. Same mission: Transform communities one connection at a time.**

What does waterfront do that inland can't? What does Gulfport need that Madison didn't?

Follow along as we share.

Transforming communities one connection at a time. 🌊",Channel South rendering (waterfront Hotel Holden aspirational),#Gulfport #Waterfront #MixedUseDevelopment #HotelDevelopment,9am,Week 4 - Beyond Madison,
7/22/26,Tuesday,LinkedIn,Market Story,Why Gulfport Waterfront Matters (And When),"Gulfport, MS has inherited geography: direct Gulf of Mexico waterfront, established tourism infrastructure, historic downtown.

For years, that wasn't enough. Downtown was residential + charm, but no anchor catalyzing revitalization.

**Enter Channel South:**
$105M mixed-use anchoring Beach Boulevard with Hotel Holden, luxury apartments, Class A office, waterfront retail.

**Why 2027 opening is critical:**
Construction mobilization happening now (summer 2026). Year 1 opening creates critical mass — hotel guests exploring downtown, new residents patronizing local restaurants, office workers bringing workforce.

**The ripple:** Each tenant's success becomes downtown's success.

Gulfport isn't asking for a development. It's ready for a catalyst.

Creation. Capital. Customer. Charity.",Gulfport waterfront market data or context image,#WaterfrontDevelopment #Gulfport #UrbanRenewal,9am,,
7/23/26,Wednesday,Instagram,Project Vision,Hotel Holden: What luxury looks like on the Gulf Coast.,"Hotel Holden is the anchor of Channel South.

114 rooms. Marriott-branded. Gulf Coast luxury standard.

But Hotel Holden isn't just a hotel. It's:
- Symbol of Gulfport's waterfront transformation
- Anchor drawing visitors to downtown
- Catalyst for surrounding residential + office + retail
- Gathering space (restaurants, event space) for locals + visitors

When Hotel Holden opens in 2027, Gulfport's entire downtown ecosystem opens with it.

That's mission-driven development. 🏨

Transforming communities one connection at a time.",Hotel Holden rendering (luxury waterfront architectural),#LuxuryHotel #Gulfport #Waterfront #Hospitality,9am,,
7/24/26,Thursday,Facebook,Waterfront Impact,Waterfront development isn't about beachfront property. It's about community identity.,"When a city anchors its identity on waterfront, something shifts.

Waterfront isn't just real estate. It's civic pride. It's where locals and visitors both want to be. It's the story a city tells about itself.

Gulfport's story is about to change.

Channel South isn't just bringing a hotel to the coast. It's anchoring Gulfport's identity as a Gulf Coast destination — not a drive-through, but a place to stay, gather, invest, build life.

That's why waterfront developments matter. They transform how a community sees itself.

Coming 2027. 🌊

Transforming communities one connection at a time.",Gulfport waterfront/Gulf Coast imagery (scenic aspirational),#Gulfport #WaterfrontDevelopment #GulfCoast #Community,9am,,
7/25/26,Friday,Instagram,Leadership,Two cities. One philosophy.,"Madison. Gulfport.

Different markets. Different needs. Same mission.

While Paige Prechter leads The Gallery (community gathering, mixed-use retail + entertainment + wellness), Paul Prechter anchors Channel South (waterfront catalyst, hotel + residential + office).

Deep Sethi ensures capital strategy aligns both projects — financing optimized, timelines coordinated, decisions serve the long-term mission.

Matt Doka (CTO) ensures every system (smart building tech, EV infrastructure, IoT, connectivity) is architected for the future.

Sunny Sethi leads it all — 25+ years in Mississippi, founder of the philosophy that started Bellamare.

Not hierarchy. Systems. Each person owns their domain. All decisions serve one mission.

We hire people, not positions. We empower teams to own outcomes.

That's how you build at scale without losing what makes you unique. 🧭

Transforming communities one connection at a time.",Full Bellamare leadership team photo (Sunny Deep Paige Paul Matt; warm authentic collaborative),#Leadership #TeamBuilding #MississippiLeaders #DevelopmentPhilosophy,9am,,
7/26/26,Saturday,LinkedIn,Portfolio Strategy,Why Portfolio Diversity Is Strength,"Madison (retail-deprived, high-income, growth-market) looks nothing like Gulfport (waterfront-anchored, tourism-driven, destination-positioned).

Yet Bellamare leads both.

Why?

**Risk mitigation:** Market downturns don't hit simultaneously. Economic resilience = deeper organizational learning.

**Operational excellence:** What works in Madison (retail experience, community gathering) informs Gulfport strategy. What works in Gulfport (hospitality operations, visitor experience) informs Madison.

**Talent development:** Building teams capable of thinking across multiple market types creates more adaptable leaders.

**Investor confidence:** Portfolio diversity proves adaptability. It's not ""one trick that worked once."" It's repeatable systems that work across contexts.

**Strategic learning:** Madison teaches Bellamare how to build community in growth markets. Gulfport teaches hospitality excellence + tourism integration.

Each market makes the company stronger.

Creation. Capital. Customer. Charity. Works in Madison. Works in Gulfport. Works everywhere.",Two-market portfolio map or strategic diagram,#PortfolioStrategy #DevelopmentPipeline #RiskManagement,11am,,
7/27/26,Sunday,Facebook,Community Reflection,July was about listening. August is about building.,"July taught us something. When you ask communities what they actually need — and then you listen — everything changes.

Madison told us: We need a gathering place.
We heard: MS Candy, Journey Wealth, Recovery Center. All saying yes.

Gulfport told us: We need a waterfront catalyst.
We heard: Luxury hotel, residential, office anchoring downtown transformation.

Those conversations don't happen if you're not genuinely listening.

August is when the real work begins. Site preparation. Tenant coordination. Team scaling. Capital sequencing. Every decision in service of the mission: Transforming communities one connection at a time.

Thank you for following along in July. More to come.

Transforming communities one connection at a time. 🙏",Summer sunset/seasonal reflection photo (warm grateful),#SummerReflection #Madison #Gulfport #CommunityBuilding,10am,Week 5 - Summer Momentum,
7/28/26,Monday,Instagram,Team Gratitude,Extraordinary people. Extraordinary mission.,"""We hire people, not positions."" That's not just a philosophy. That's who we are.

Thank you to the Bellamare team — across all five companies, all markets, all roles — for living this mission every day.

To Sunny, Deep, Paige, Paul, Matt, and every person who chose to be part of something bigger than a job: thank you.

To our partners — Fondren & Codaray, architects, engineers, suppliers — who chose quality over shortcuts.

To our tenant partners — who bet on community first, margin second.

To Madison and Gulfport residents — who remind us why this matters.

August is going to be good. Let's build something real. 💪

Transforming communities one connection at a time.",Diverse team photo (authentic collaborative energized),#TeamBellamare #Grateful #MissionDriven,9am,,
7/29/26,Tuesday,LinkedIn,Organizational Insight,What July Proved About Culture,"Most organizations talk about culture. Bellamare lives it.

In July, we coordinated two major developments across different markets, managed pre-construction complexity, kept 80+ tenants energized and committed, expanded our team, and maintained mission clarity.

How?

Not through perfect processes. Through people.

People like Paige, who thinks in systems instead of checklists. People like the Fondren & Codaray team, who prioritize quality over completion. People like MS Candy and Journey Wealth, who believe in something bigger than their own bottom line.

That's what happens when you hire for potential instead of credentials.

Culture isn't a values poster. It's the people you work with every day, the standards you hold, the mission you defend.

July proved ours is real.

August, let's scale it.

Creation. Capital. Customer. Charity.",Team culture or organizational momentum graphic,#OrganizationalCulture #Leadership #TeamWork,9am,,
7/30/26,Wednesday,Facebook,Community Outlook,August forecast: momentum & milestones.,"**What's coming for The Gallery (Madison):**
- Site preparation accelerating
- Tenant coordination intensifying
- Leadership + team announcements
- Market & community insights

**What's coming for Channel South (Gulfport):**
- Waterfront story deepens
- Hotel Holden vision comes into focus
- Community partnership announcements

**What's coming across Bellamare:**
- New team introductions
- Market intelligence
- Community spotlights
- Behind-the-scenes moments

August is going to be good. Follow along. 📅

Transforming communities one connection at a time.",August preview/calendar graphic (warm anticipatory),#ComingSoon #August #ExcitingNews,9am,,
7/31/26,Thursday,Instagram,Mission Checkpoint,July in numbers. August in momentum.,"**July 2026 — The Numbers:**
✓ 80+ tenants committed to The Gallery vision
✓ Two markets (Madison + Gulfport) moving forward together
✓ Five companies, one mission
✓ Countless conversations with Madison + Gulfport families about what community means

**August in Momentum:**
→ Site preparation
→ Tenant activation
→ Team growth
→ Community stories

Thank you for being part of this story.

Transforming communities one connection at a time. 🔗",July recap montage or momentum-forward imagery,#MissionDriven #Community #Bellamare,9am,,
8/1/26,Friday,Facebook,New Month New Chapter,August 1st. The real work begins.,"July was about listening.

August is about building.

Same mission. Different chapter.

Transforming communities one connection at a time. 🔨",Fresh start/August first photo (sunrise forward momentum),#August #NewMonth #BuildingMomentum,10am,BONUS,
